geometry,name,from_bus,to_bus,transformer
"LINESTRING (3055 2923, 2977 2908)",line_1360_to_1593_1_cp,bus_1360,bus_1593,false
"LINESTRING (910 619, 1161 1128)",line_1100_to_1115_2_cp,bus_1100,bus_1115,false
"LINESTRING (-2 -3673, -33 -3732)",xf_2267_to_2075_4_2winding_transformer,bus_2267,bus_2075,true
"LINESTRING (1063 2437, 647 2809)",line_1109_to_3650_2_cp,bus_1109,bus_3650,false
"LINESTRING (-1503 6658, -2094 6974)",connection Q1,bus_3584,bus_3332,false
"LINESTRING (898 -6262, 898 -6262)",xf_5090_5200_5201_5_3winding_transformer_br1,bus_5090,starbus_xf_5090_5200_5201_5,true
"LINESTRING (-1239 4414, -1309 4480)",xf_3034_to_3035_2_2winding_transformer,bus_3034,bus_3035,true
"LINESTRING (904 -5344, 1031 -5503)",line_5153_to_5170_2_cp,bus_5150,bus_5170,false
"LINESTRING (1379 -6154, 1425 -6195)",xf_5099_to_5207_2_2winding_transformer,bus_5099,bus_5207,true
"LINESTRING (1491 2184, 1349 2391)",line_1095_to_1143_1_cp,bus_1011,bus_1142,false
"LINESTRING (380 -3402, 393 -3482)",xf_2108_to_2220_2_2winding_transformer,bus_2108,bus_2220,true
"LINESTRING (-419 5506, -398 5494)",xf_3492_to_3493_5_2winding_transformer,bus_3149,bus_3493,true
"LINESTRING (-947 -3276, -929 -3281)",xf_4082_to_4102_5_2winding_transformer,bus_4082,bus_4096,true
"LINESTRING (-479 2780, -602 2881)",xf_3504_to_3572_5_2winding_transformer,bus_3504,bus_3572,true
"LINESTRING (165 -3371, 105 -3527)",xf_2129_to_2239_1_2winding_transformer,bus_2129,bus_2239,true
"LINESTRING (1372 -5727, 1390 -5771)",xf_5074_to_5193_2_2winding_transformer,bus_5074,bus_5193,true
"LINESTRING (-938 3182, -747 2974)",xf_3534_to_3610_1_2winding_transformer,bus_3534,bus_3601,true
"LINESTRING (1320 -4352, 1368 -4310)",line_2255_to_2261_1_cp,bus_2255,bus_2260,false
"LINESTRING (66 3102, -65 3166)",line_3374_to_3402_1_cp,bus_3302,bus_3402,false
"LINESTRING (405 3966, 571 4159)",xf_3265_to_3156_2_2winding_transformer,bus_3261,bus_3156,true
"LINESTRING (320 -3090, 260 -3033)",line_1054_to_1606_1_cp,bus_1054,bus_1007,false
"LINESTRING (697 535, 721 682)",line_1124_to_1149_1_cp,bus_1124,bus_1149,false
"LINESTRING (-1863 6796, -1863 6796)",xf_3628_3455_3453_1_3winding_transformer_br1,bus_3628,starbus_xf_3628_3455_3453_1,true
"LINESTRING (-1392 4828, -918 4796)",xf_3533_to_3608_1_2winding_transformer,bus_3157,bus_3550,true
"LINESTRING (1051 -5654, 1112 -5788)",xf_5169_to_5118_1_2winding_transformer,bus_5169,bus_5118,true
"LINESTRING (-1302 2259, -981 2560)",xf_3473_to_3546_4_2winding_transformer,bus_3405,bus_3546,true
"LINESTRING (-1945 -2363, -1926 -2226)",line_4320_to_4323_1_cp,bus_4320,bus_4323,false
"LINESTRING (-1392 4828, -918 4796)",xf_3533_to_3608_2_2winding_transformer,bus_3157,bus_3550,true
"LINESTRING (383 -5832, 301 -5861)",xf_5068_to_5173_2_2winding_transformer,bus_5068,bus_5173,true
"LINESTRING (-479 2780, -444 2787)",xf_3504_to_3505_2_2winding_transformer,bus_3504,bus_3505,true
"LINESTRING (-822 5732, -822 5732)",xf_3483_3558_3485_2_3winding_transformer_br1,bus_3483,starbus_xf_3483_3558_3485_2,true
"LINESTRING (693 -3618, 782 -3231)",line_2147_to_2180_1_cp,bus_2147,bus_2171,false
"LINESTRING (682 204, 518 61)",xf_1156_to_1157_1_2winding_transformer,bus_1156,bus_1157,true
"LINESTRING (1626 1705, 1778 1737)",line_1192_to_1322_1_cp,bus_1192,bus_1322,false
"LINESTRING (-1320 7005, -1321 7107)",xf_3223_to_3224_1_2winding_transformer,bus_3223,bus_3224,true
"LINESTRING (-1657 -2805, -1640 -2952)",line_4311_to_4342_1_cp,bus_4311,bus_4342,false
"LINESTRING (-2223 -1226, -2378 -1162)",line_4176_to_4191_1_cp,bus_4176,bus_4190,false
"LINESTRING (786 -2975, 766 -2913)",xf_2127_to_2234_2_2winding_transformer,bus_2127,bus_2234,true
"LINESTRING (-2532 -1823, -2465 -1810)",xf_4084_to_4085_2_2winding_transformer,bus_4084,bus_4085,true
"LINESTRING (-996 2948, -951 2806)",line_3056_to_3491_1_cp,bus_3056,bus_3074,false
"LINESTRING (-409 -3284, -437 -3349)",xf_2077_to_2348_6_2winding_transformer,bus_2077,bus_2348,true
"LINESTRING (1300 -1557, 1300 -1557)",xf_1118_1040_1041_2_3winding_transformer_br1,bus_1118,starbus_xf_1118_1040_1041_2,true
"LINESTRING (1832 1817, 1924 1854)",xf_1423_to_1623_2_2winding_transformer,bus_1423,bus_1623,true
"LINESTRING (-2151 -876, -2132 -986)",xf_4186_4230_4494_1_3winding_transformer_br1_merged_with_line_4185_to_4186_1_cp,starbus_xf_4186_4230_4494_1,bus_4185,true
"LINESTRING (-2167 -3336, -2137 -3869)",line_4256_to_4264_1_cp,bus_4255,bus_4258,false
"LINESTRING (-1308 3419, -1519 3506)",line_3058_to_3371_1_cp,bus_3058,bus_3359,false
"LINESTRING (380 1278, 27 1398)",xf_1303_to_1581_1_2winding_transformer,bus_1239,bus_1581,true
"LINESTRING (-3172 -1760, -3395 -1862)",xf_4181_to_4405_2_2winding_transformer,bus_4169,bus_4405,true
"LINESTRING (933 -3922, 947 -4029)",xf_2186_to_2352_5_2winding_transformer,bus_2186,bus_2352,true
"LINESTRING (238 527, 166 565)",line_1185_to_1188_3_cp,bus_1185,bus_1188,false
"LINESTRING (-1137 2866, -1315 2864)",line_3214_to_3625_2_cp,bus_3214,bus_3625,false
"LINESTRING (228 214, 679 322)",line_1111_to_1144_1_cp,bus_1111,bus_1066,false
"LINESTRING (-541 4204, -611 4070)",line_3382_to_3636_2_cp,bus_3382,bus_3319,false
"LINESTRING (-1687 7268, -1726 7292)",xf_3631_to_3087_2_2winding_transformer_merged_with_line_3523_to_3631_2_cp,bus_3329,bus_3087,true
"LINESTRING (-1391 3478, -944 3422)",line_3408_to_3496_1_cp,bus_3334,bus_3496,false
"LINESTRING (995 -6295, 958 -6360)",line_5091_to_5093_1_cp_merged_with_xf_5093_5202_5203_1_3winding_transformer_br1,bus_5091,starbus_xf_5093_5202_5203_1,true
"LINESTRING (-1185 2158, 27 1398)",xf_1304_to_1581_2_2winding_transformer,bus_1304,bus_1581,true
"LINESTRING (-2234 -3018, -2297 -3132)",line_4266_to_4270_1_cp,bus_4266,bus_4270,false
"LINESTRING (877 -4079, 900 -4187)",xf_2167_to_2272_5_2winding_transformer,bus_2167,bus_2272,true
"LINESTRING (-1467 7293, -1460 7399)",xf_3083_to_3085_1_2winding_transformer,bus_3083,bus_3085,true
"LINESTRING (1701 1233, 1770 1218)",line_1531_to_1603_1_cp,bus_1531,bus_1602,false
"LINESTRING (-2959 -1413, -2633 -1576)",xf_4122_to_4025_3_2winding_transformer_merged_with_line_4118_to_4122_4_pi,bus_4025,bus_4106,true
"LINESTRING (-2983 -1700, -3172 -1760)",xf_4113_to_4169_1_2winding_transformer,bus_4113,bus_4169,true
"LINESTRING (-2402 -1656, -2402 -1656)",xf_4104_4043_4044_3_3winding_transformer_br1,bus_4104,starbus_xf_4104_4043_4044_3,true
"LINESTRING (895 4111, 1122 4261)",line_3614_to_3617_1_cp,bus_3614,bus_3617,false
"LINESTRING (-1332 2344, -1249 2385)",xf_3177_3179_3178_2_3winding_transformer_br3,bus_3178,starbus_xf_3177_3179_3178_2,true
"LINESTRING (529 439, 485 488)",line_1379_to_1406_1_cp,bus_1190,bus_1406,false
"LINESTRING (-1970 -3309, -2016 -3389)",xf_4243_to_4482_1_2winding_transformer,bus_4243,bus_4482,true
"LINESTRING (-1730 -2741, -1657 -2805)",line_4286_to_4311_1_cp,bus_4286,bus_4311,false
"LINESTRING (1031 -3962, 1064 -4051)",xf_2264_to_2312_4_2winding_transformer,bus_2264,bus_2312,true
"LINESTRING (2721 2689, 2806 2717)",line_1594_to_1658_2_cp,bus_1594,bus_1658,false
"LINESTRING (-409 -3284, -457 -3444)",xf_2077_to_2270_2_2winding_transformer,bus_2077,bus_2270,true
"LINESTRING (-357 -3142, -409 -3284)",xf_2077_2205_2346_2_3winding_transformer_br2,bus_2205,starbus_xf_2077_2205_2346_2,true
"LINESTRING (-1873 6871, -1873 6871)",xf_3629_3454_3456_2_3winding_transformer_br1,bus_3629,starbus_xf_3629_3454_3456_2,true
"LINESTRING (-1336 2364, -1249 2385)",xf_3177_3179_3178_2_3winding_transformer_br2,bus_3179,starbus_xf_3177_3179_3178_2,true
"LINESTRING (-2794 -1647, -2836 -1815)",connection S5,bus_4107,bus_4109,false
"LINESTRING (830 -5662, 627 -5695)",xf_5129_to_5220_2_2winding_transformer,bus_5113,bus_5220,true
"LINESTRING (-1730 -2741, -1760 -2851)",line_4286_to_4287_1_cp,bus_4286,bus_4287,false
"LINESTRING (1369 -1490, 1136 -1159)",line_1148_to_1158_1_cp,bus_1148,bus_1158,false
"LINESTRING (-3918 -1747, -3848 -1764)",xf_4166_4356_4492_4_3winding_transformer_br3,bus_4492,starbus_xf_4166_4356_4492_4,true
"LINESTRING (-2980 -1919, -3048 -1968)",xf_4357_to_4010_7_2winding_transformer,bus_4357,bus_4010,true
"LINESTRING (1359 -538, 1451 -458)",xf_1316_to_1555_2_2winding_transformer,bus_1163,bus_1555,true
"LINESTRING (789 -107, 789 -107)",xf_1097_1098_1161_2_3winding_transformer_br1,bus_1097,starbus_xf_1097_1098_1161_2,true
"LINESTRING (120 3768, 180 3842)",xf_3024_to_3026_3_2winding_transformer,bus_3024,bus_3026,true
"LINESTRING (2909 2742, 2833 2717)",line_1598_to_1601_1_cp,bus_1598,bus_1601,false
"LINESTRING (894 -1579, 860 -1643)",xf_1481_to_1482_2_2winding_transformer,bus_1481,bus_1482,true
"LINESTRING (-2063 -3911, -1983 -3864)",line_4257_to_4259_1_cp,bus_4257,bus_4225,false
"LINESTRING (1455 -1491, 1369 -1490)",xf_1148_1075_1076_2_3winding_transformer_br2,bus_1075,starbus_xf_1148_1075_1076_2,true
"LINESTRING (1008 -5612, 811 -5700)",xf_5143_to_5053_1_2winding_transformer,bus_5143,bus_5053,true
"LINESTRING (-935 2649, -744 2835)",line_3582_to_3589_1_cp,bus_3582,bus_3589,false
"LINESTRING (-434 2896, -390 2893)",xf_3338_to_3339_2_2winding_transformer,bus_3338,bus_3339,true
"LINESTRING (1435 -1548, 1369 -1490)",xf_1148_1079_1080_4_3winding_transformer_br3,bus_1080,starbus_xf_1148_1079_1080_4,true
"LINESTRING (-2836 -1815, -2836 -1815)",xf_4109_4357_4358_1_3winding_transformer_br1,bus_4109,starbus_xf_4109_4357_4358_1,true
"LINESTRING (1162 -6405, 1157 -6348)",xf_5088_5175_5241_4_3winding_transformer_br3,bus_5241,starbus_xf_5088_5175_5241_4,true
"LINESTRING (970 -499, 1118 -512)",line_1289_to_1387_2_cp,bus_1289,bus_1387,false
"LINESTRING (-1096 1993, -1124 2030)",line_1597_to_1651_1_pi,bus_1597,bus_1651,false
"LINESTRING (172 -4271, 169 -4378)",line_2005_to_2007_1_cp,bus_2005,bus_2007,false
"LINESTRING (146 -3531, 193 -3623)",line_2106_to_2177_1_cp,bus_2106,bus_2177,false
"LINESTRING (-866 2904, -951 2806)",line_3171_to_3491_1_cp,bus_3171,bus_3074,false
"LINESTRING (1253 -4202, 1317 -4224)",xf_2142_to_2035_4_2winding_transformer,bus_2143,bus_2035,true
"LINESTRING (-2124 -1196, -2150 -1130)",xf_4180_to_4228_2_2winding_transformer,bus_4180,bus_4228,true
"LINESTRING (1300 -1557, 1136 -1159)",line_1118_to_1158_1_cp,bus_1118,bus_1158,false
"LINESTRING (-172 5490, -151 5482)",xf_3061_to_3062_1_2winding_transformer,bus_3000,bus_3062,true
"LINESTRING (-314 4388, -570 4803)",line_3573_to_3640_2_cp,bus_3573,bus_3640,false
"LINESTRING (1296 -332, 1292 -309)",line_1268_to_1272_4_pi_merged_with_xf_1268_to_1032_4_2winding_transformer,bus_1269,bus_1032,true
"LINESTRING (-1314 5960, -1218 5893)",line_3023_to_3063_2_cp,bus_3023,bus_3002,false
"LINESTRING (-906 4002, -915 4345)",line_3547_to_3549_2_cp,bus_3547,bus_3549,false
"LINESTRING (645 137, 875 144)",line_1236_to_1491_1_cp,bus_1236,bus_1252,false
"LINESTRING (970 -1623, 925 -1481)",line_1061_to_1274_1_cp,bus_1061,bus_1274,false
"LINESTRING (-611 4070, -614 4125)",xf_3319_to_3320_1_2winding_transformer,bus_3319,bus_3320,true
"LINESTRING (762 -1940, 740 -1889)",xf_2191_2020_2021_7_3winding_transformer_br2,bus_2020,starbus_xf_2191_2020_2021_7,true
"LINESTRING (-685 3675, -853 3865)",line_3543_to_3556_1_cp,bus_3543,bus_3556,false
"LINESTRING (984 -3929, 1076 -4331)",line_2118_to_2185_1_cp_merged_with_line_2173_to_2185_1_cp_merged_with_line_2173_to_2188_1_cp,bus_2118,bus_2188,false
"LINESTRING (1146 -6037, 1131 -6078)",xf_5089_to_5199_2_2winding_transformer,bus_5089,bus_5199,true
"LINESTRING (-822 5732, -869 5466)",xf_3483_to_3558_1_2winding_transformer,bus_3483,bus_3558,true
"LINESTRING (-1611 -2026, -1670 -2053)",xf_4202_to_4329_1_2winding_transformer,bus_4202,bus_4329,true
"LINESTRING (-758 4083, -763 4172)",line_3018_to_3019_1_cp,bus_3018,bus_3019,false
"LINESTRING (-293 402, -334 403)",line_1321_to_1627_1_cp,bus_1321,bus_1627,false
"LINESTRING (984 -3929, 1013 -4025)",xf_2118_to_2224_2_2winding_transformer,bus_2118,bus_2224,true
"LINESTRING (-1166 5437, -1221 5429)",line_3275_to_3510_1_cp,bus_3275,bus_3432,false
"LINESTRING (-1719 7565, -1650 7315)",xf_3093_to_3449_2_2winding_transformer_merged_with_line_3089_to_3093_1_cp,bus_3449,bus_3089,true
"LINESTRING (-3933 -1814, -3848 -1764)",line_4162_to_4166_1_cp,bus_4162,bus_4166,false
"LINESTRING (997 -6215, 954 -6264)",xf_5092_to_5226_3A_2winding_transformer,bus_5092,bus_5226,true
"LINESTRING (-2169 -2688, -1945 -2363)",line_4091_to_4320_1_cp,bus_4031,bus_4320,false
"LINESTRING (-1965 -2388, -1862 -2484)",xf_4135_to_4277_1_2winding_transformer,bus_4135,bus_4277,true
"LINESTRING (-1369 7106, -1320 7005)",line_3189_to_3223_1_cp,bus_3189,bus_3223,false
"LINESTRING (307 3563, 503 3236)",xf_3158_to_3648_1_2winding_transformer,bus_3158,bus_3648,true
"LINESTRING (-52 1424, -1302 2259)",line_1218_to_3473_2_cp,bus_1218,bus_3405,false
"LINESTRING (264 -3628, 224 -3741)",line_2105_to_2109_1_cp,bus_2105,bus_2109,false
"LINESTRING (-907 -2658, -898 -2745)",line_4219_to_4220_1_cp,bus_4219,bus_4220,false
"LINESTRING (-2260 -2230, -2143 -2100)",xf_4233_to_4124_2_2winding_transformer,bus_4233,bus_4094,true
"LINESTRING (-833 5026, -918 4796)",line_3557_to_3608_1_cp,bus_3557,bus_3550,false
"LINESTRING (814 -6003, 437 -6122)",xf_5157_to_5235_1_2winding_transformer,bus_5155,bus_5235,true
"LINESTRING (2191 2245, 2287 2279)",xf_1419_to_1622_1_2winding_transformer,bus_1419,bus_1622,true
"LINESTRING (449 -4098, 411 -4225)",xf_2112_to_2221_3_2winding_transformer,bus_2104,bus_2221,true
"LINESTRING (937 -3740, 854 -3647)",line_2164_to_2168_1_cp,bus_2164,bus_2168,false
"LINESTRING (697 535, 727 601)",xf_1124_to_1049_1_2winding_transformer,bus_1124,bus_1049,true
"LINESTRING (1031 -5503, 1073 -5646)",xf_5170_to_5119_2_2winding_transformer,bus_5170,bus_5119,true
"LINESTRING (-1695 -2902, -1637 -3056)",line_4301_to_4302_1_cp,bus_4301,bus_4302,false
"LINESTRING (380 -3402, 393 -3482)",xf_2108_to_2220_1_2winding_transformer,bus_2108,bus_2220,true
"LINESTRING (-1282 6854, -1160 6857)",line_3529_to_3643_1_cp,bus_3529,bus_3643,false
"LINESTRING (464 -3836, 460 -3926)",xf_2146_to_2250_8_2winding_transformer,bus_2146,bus_2250,true
"LINESTRING (-2270 -1492, -2321 -1420)",xf_4189_to_4371_2_2winding_transformer,bus_4189,bus_4371,true
"LINESTRING (-2456 -2217, -2428 -2099)",line_4235_to_4382_1_cp,bus_4235,bus_4382,false
"LINESTRING (-1030 3422, -944 3422)",line_3226_to_3496_1_cp,bus_3226,bus_3496,false
"LINESTRING (1233 -6112, 1291 -6185)",line_5081_to_5223_1_cp,bus_5080,bus_5223,false
"LINESTRING (1748 2235, 1984 2351)",line_1104_to_1116_1_cp,bus_1104,bus_1116,false
"LINESTRING (-1884 -2362, -2074 -2338)",xf_4294_to_4380_1_2winding_transformer,bus_4296,bus_4380,true
"LINESTRING (2279 1953, 2144 1943)",line_1554_to_1613_1_cp,bus_1554,bus_1613,false
"LINESTRING (-2644 -2675, -2715 -2741)",xf_4038_to_4037_1_2winding_transformer,bus_4038,bus_4037,true
"LINESTRING (406 416, 597 315)",line_1134_to_1138_2_cp,bus_1134,bus_1138,false
"LINESTRING (1136 -1803, 1182 -1830)",xf_2139_to_2089_2_2winding_transformer,bus_2139,bus_2089,true
"LINESTRING (-897 -2567, -897 -2567)",xf_4218_4392_4496_1_3winding_transformer_br1,bus_4218,starbus_xf_4218_4392_4496_1,true
"LINESTRING (-1444 -1776, -1471 -1726)",xf_4210_to_4386_2_2winding_transformer,bus_4210,bus_4386,true
"LINESTRING (-335 3514, -344 3718)",line_3568_to_3577_6_cp_merged_with_xf_3577_to_3426_4_2winding_transformer,bus_3568,bus_3426,true
"LINESTRING (-3041 -1585, -3108 -1515)",line_4163_to_4170_1_cp,bus_4089,bus_4170,false
"LINESTRING (568 3851, 741 3944)",xf_3621_to_3541_2_2winding_transformer,bus_3616,bus_3541,true
"LINESTRING (988 -3853, 937 -3740)",line_2158_to_2164_1_cp,bus_2158,bus_2164,false
"LINESTRING (1007 -3430, 880 -3494)",line_2199_to_2206_1_cp,bus_2199,bus_2206,false
"LINESTRING (897 993, 820 1294)",xf_1132_to_1183_2_2winding_transformer,bus_1132,bus_1183,true
"LINESTRING (1251 -6104, 1276 -6144)",xf_5131_to_5134_1_2winding_transformer,bus_5131,bus_5134,true
"LINESTRING (313 384, 16 475)",xf_1495_to_1652_1_2winding_transformer,bus_1191,bus_1652,true
"LINESTRING (77 -4396, 52 -4501)",xf_2265_to_2313_1_2winding_transformer,bus_2265,bus_2313,true
"LINESTRING (-1378 -1956, -1394 -1914)",xf_4213_to_4387_2_2winding_transformer,bus_4213,bus_4387,true
"LINESTRING (-1997 -2284, -2045 -2244)",xf_4295_to_4458_1_2winding_transformer,bus_4295,bus_4458,true
"LINESTRING (1372 -5727, 1390 -5771)",xf_5074_to_5193_1_2winding_transformer,bus_5074,bus_5193,true
"LINESTRING (141 -289, 194 -324)",line_1205_to_1485_1_cp_merged_with_line_1400_to_1485_1_cp,bus_1205,bus_1400,false
"LINESTRING (-1030 3163, -938 3182)",line_3390_to_3534_2_cp,bus_3390,bus_3534,false
"LINESTRING (-1013 3992, -853 3865)",xf_3479_to_3556_1_2winding_transformer,bus_3479,bus_3556,true
"LINESTRING (340 -3787, 204 -3789)",line_2154_to_2176_1_cp,bus_2128,bus_2176,false
"LINESTRING (1300 -1557, 740 -1889)",line_1118_to_2191_1_cp,bus_1118,bus_2191,false
"LINESTRING (-2167 -3336, -2221 -3419)",xf_4255_to_4433_1_2winding_transformer,bus_4255,bus_4433,true
"LINESTRING (468 -410, 355 -490)",line_1434_to_1626_1_cp,bus_1434,bus_1626,false
"LINESTRING (580 -475, 504 -544)",xf_1393_to_1534_2_2winding_transformer,bus_1393,bus_1534,true
"LINESTRING (593 -1175, 629 -1107)",xf_1296_1504_1506_1_3winding_transformer_br2,bus_1504,starbus_xf_1296_1504_1506_1,true
"LINESTRING (1063 2437, 647 2809)",line_1109_to_3650_1_cp,bus_1109,bus_3650,false
"LINESTRING (-833 5026, -869 5466)",line_3557_to_3558_1_cp,bus_3557,bus_3558,false
"LINESTRING (-1960 -2598, -1976 -2688)",xf_4128_to_4053_2_2winding_transformer,bus_4128,bus_4053,true
"LINESTRING (-1687 7268, -1564 6890)",xf_3523_to_3597_1_2winding_transformer,bus_3329,bus_3597,true
"LINESTRING (66 3102, 66 3102)",xf_3302_3304_3303_3_3winding_transformer_br1,bus_3302,starbus_xf_3302_3304_3303_3,true
"LINESTRING (910 619, 1011 651)",xf_1100_to_1018_3_2winding_transformer,bus_1100,bus_1018,true
"LINESTRING (449 -4098, 464 -3836)",line_2104_to_2146_1_cp,bus_2104,bus_2146,false
"LINESTRING (897 993, 1058 1182)",line_1132_to_1146_1_cp,bus_1132,bus_1146,false
"LINESTRING (1253 -4202, 1245 -3952)",xf_2137_to_2067_8_2winding_transformer,bus_2143,bus_2067,true
"LINESTRING (554 -7, 679 -116)",line_1123_to_1152_2_cp,bus_1123,bus_1152,false
"LINESTRING (-1417 6783, -1458 6865)",line_3004_to_3006_1_cp,bus_3004,bus_3006,false
"LINESTRING (-2135 -1327, -2148 -1243)",line_4177_to_4178_1_cp,bus_4177,bus_4178,false
"LINESTRING (-1030 3422, -1030 3422)",xf_3226_3227_3228_2_3winding_transformer_br1,bus_3226,starbus_xf_3226_3227_3228_2,true
"LINESTRING (-996 2948, -1138 3004)",line_3056_to_3342_1_cp,bus_3056,bus_3342,false
"LINESTRING (963 -2129, 887 -2086)",xf_1106_to_1168_1_2winding_transformer,bus_1106,bus_1168,true
"LINESTRING (-1782 -2384, -1720 -2576)",xf_4137_to_4300_2_2winding_transformer,bus_4137,bus_4300,true
"LINESTRING (-843 2502, -884 2464)",xf_3340_to_3341_2_2winding_transformer,bus_3340,bus_3341,true
"LINESTRING (-1782 -2384, -1720 -2576)",xf_4137_to_4300_3_2winding_transformer,bus_4137,bus_4300,true
"LINESTRING (-693 5928, -586 6101)",line_3108_to_3244_1_cp_merged_with_xf_3244_to_3659_2_2winding_transformer,bus_3108,bus_3659,true
"LINESTRING (-1941 -3307, -1942 -3404)",xf_4253_to_4430_2_2winding_transformer,bus_4253,bus_4430,true
"LINESTRING (-553 3019, -551 3089)",xf_3048_to_3049_1_2winding_transformer,bus_3048,bus_3049,true
"LINESTRING (-2063 -3911, -2063 -3911)",xf_4257_4379_4434_1_3winding_transformer_br1,bus_4257,starbus_xf_4257_4379_4434_1,true
"LINESTRING (1692 -5528, 1759 -5548)",xf_5064_to_5189_2_2winding_transformer,bus_5064,bus_5189,true
"LINESTRING (995 -6295, 1139 -6349)",line_5091_to_5112_1_cp,bus_5091,bus_5087,false
"LINESTRING (-935 2649, -1147 2506)",xf_3582_to_3633_1_2winding_transformer,bus_3582,bus_3633,true
"LINESTRING (759 719, 721 682)",line_1091_to_1149_1_cp,bus_1091,bus_1149,false
"LINESTRING (1167 325, 966 371)",line_1346_to_1443_1_cp,bus_1346,bus_1184,false
"LINESTRING (173 819, 76 981)",xf_1489_to_1558_2_2winding_transformer,bus_1313,bus_1558,true
"LINESTRING (-1094 5419, -982 5236)",xf_3175_to_3176_1_2winding_transformer_merged_with_line_3175_to_3482_1_cp,bus_3176,bus_3482,true
"LINESTRING (-2609 -831, -2669 -784)",xf_4197_to_4374_1_2winding_transformer,bus_4197,bus_4374,true
"LINESTRING (-2137 -3869, -2189 -3543)",line_4264_to_4268_1_cp,bus_4258,bus_4268,false
"LINESTRING (493 4108, 552 4200)",xf_3137_to_3139_2_2winding_transformer,bus_3137,bus_3139,true
"LINESTRING (-1296 4156, -1177 4045)",line_3021_to_3475_1_cp,bus_3021,bus_3475,false
"LINESTRING (156 -160, 73 -156)",xf_1428_to_1501_3_2winding_transformer,bus_1428,bus_1501,true
"LINESTRING (814 -6003, 423 -6111)",xf_5157_to_5236_2_2winding_transformer,bus_5155,bus_5236,true
"LINESTRING (-1229 -2017, -1258 -2001)",xf_4215_to_4390_2_2winding_transformer,bus_4215,bus_4390,true
"LINESTRING (904 -5344, 1031 -5503)",line_5153_to_5170_1_cp,bus_5150,bus_5170,false
"LINESTRING (765 -5745, 762 -5772)",xf_5050_to_5179_2_2winding_transformer,bus_5050,bus_5179,true
"LINESTRING (1253 -4202, 1263 -4302)",xf_2143_to_2038_3_2winding_transformer,bus_2143,bus_2038,true
"LINESTRING (-1503 6658, -1564 6890)",line_3584_to_3597_2_cp,bus_3584,bus_3597,false
"LINESTRING (-918 4796, -911 4889)",xf_3550_to_3418_2_2winding_transformer,bus_3550,bus_3418,true
"LINESTRING (-995 3510, -944 3422)",line_3203_to_3496_3_cp,bus_3203,bus_3496,false
"LINESTRING (-3288 -1647, -3039 -1644)",xf_4165_to_4111_2_2winding_transformer,bus_4165,bus_4111,true
"LINESTRING (-1736 6747, -1863 6796)",line_3516_to_3628_1_cp,bus_3516,bus_3628,false
"LINESTRING (-759 5917, -751 6043)",xf_3201_to_3202_2_2winding_transformer,bus_3201,bus_3202,true
"LINESTRING (825 368, 915 383)",xf_1099_to_1019_5_2winding_transformer,bus_1099,bus_1019,true
"LINESTRING (52 3029, -26 3018)",xf_3333_3336_3335_3_3winding_transformer_br3,bus_3335,starbus_xf_3333_3336_3335_3,true
"LINESTRING (263 -555, 355 -490)",xf_1433_to_1626_1_2winding_transformer,bus_1433,bus_1626,true
"LINESTRING (2721 2689, 2833 2717)",line_1594_to_1601_1_cp,bus_1594,bus_1601,false
"LINESTRING (-491 -2732, -707 -2550)",line_2196_to_4151_1_cp,bus_2196,bus_4101,false
"LINESTRING (-1983 -3864, -1938 -3768)",xf_4244_to_4424_1_2winding_transformer,bus_4225,bus_4424,true
"LINESTRING (-1006 2471, -1147 2506)",line_3134_to_3633_2_cp,bus_3134,bus_3633,false
"LINESTRING (-1452 -3242, -1550 -3288)",xf_4310_to_4468_1_2winding_transformer_merged_with_line_4310_to_4316_1_cp,bus_4468,bus_4261,true
"LINESTRING (1139 -6349, 1122 -6320)",xf_5112_to_5214_2_2winding_transformer,bus_5087,bus_5214,true
"LINESTRING (324 -3947, 314 -4087)",line_2236_to_2238_1_cp,bus_2236,bus_2238,false
"LINESTRING (-2004 -2596, -2143 -2100)",Dec1_line_4112_to_4124_1_dec,bus_4112,bus_4094,false
"LINESTRING (-714 4483, -918 4796)",line_3598_to_3608_1_cp,bus_3598,bus_3550,false
"LINESTRING (-1005 3251, -938 3182)",line_3131_to_3534_1_cp,bus_3131,bus_3534,false
"LINESTRING (149 -3261, 453 -3333)",line_2203_to_2208_1_cp,bus_2203,bus_2208,false
"LINESTRING (-1392 4828, -1335 5018)",xf_3646_to_3122_1_2winding_transformer,bus_3157,bus_3122,true
"LINESTRING (-2650 -1357, -2628 -1613)",xf_4171_to_4115_1_2winding_transformer,bus_4171,bus_4115,true
"LINESTRING (-1090 4415, -1195 4623)",line_3476_to_3627_1_cp,bus_3476,bus_3233,false
"LINESTRING (997 1100, 1053 1146)",xf_1153_to_1201_1_2winding_transformer,bus_1153,bus_1201,true
"LINESTRING (1079 -5510, 1015 -5530)",xf_5147_to_5230_1_2winding_transformer,bus_5147,bus_5230,true
"LINESTRING (493 4108, 528 4209)",xf_3137_to_3138_1_2winding_transformer,bus_3137,bus_3138,true
"LINESTRING (-1218 5893, -1204 5918)",line_3063_to_3169_1_cp,bus_3002,bus_3169,false
"LINESTRING (-1392 4828, -1407 5020)",xf_3637_to_3420_4_2winding_transformer,bus_3157,bus_3420,true
"LINESTRING (955 -3011, 1089 -3056)",xf_2153_to_2060_1_2winding_transformer,bus_2107,bus_2060,true
